0 392
1 401
2 400
3 399
4 400
5 400
6 401
7 400
8 400
9 400
10 400
11 400
12 399
13 401
14 400
15 400
16 400
17 400
18 400
19 400
20 399
21 401
22 400
23 399
24 401
25 400
26 399
27 401
28 400
29 400
30 400
31 400
32 397
33 401
34 400
35 399
36 401
37 400
38 400
39 400
40 400
41 400
42 400
43 400
44 400
45 400
46 400
47 400
48 400
49 400
50 399
51 401
52 400
53 400
54 400
55 400
56 400
57 399
58 400
59 400
60 400
61 400
62 399
63 400
64 401
65 399
66 401
67 400
68 400
69 400
70 400
71 399
72 401
73 400
74 400
75 400
76 400
77 400
78 400
79 400
80 399
81 401
82 399
83 401
84 399
85 401
86 400
87 400
88 400
89 399
90 401
91 400
92 400
93 400
94 399
95 401
96 400
97 399
98 401
99 395
100 4
