157 44
158 500
159 500
160 500
161 500
162 500
163 500
164 500
165 500
166 500
167 500
168 500
169 500
170 500
171 500
172 500
173 500
174 500
175 499
176 374
177 272
178 286
179 282
180 291
181 278
182 292
183 306
184 301
185 295
186 292
187 284
188 278
189 281
190 290
191 289
192 277
193 284
194 286
195 272
196 297
197 288
198 277
199 295
200 274
201 296
202 348
203 400
204 400
205 276
206 523
207 401
208 398
209 400
210 400
211 400
212 400
213 424
214 430
215 437
216 440
217 439
218 456
219 478
220 496
221 501
222 500
223 500
224 500
225 500
226 500
227 500
228 500
229 500
230 500
231 500
232 499
233 499
234 424
235 300
236 300
237 336
238 400
239 400
240 400
241 400
242 400
243 400
244 400
245 400
246 400
247 400
248 400
249 400
250 400
251 400
252 400
253 400
254 400
255 400
256 400
257 357
